rep	cond	task	exit	wall_ms	api_calls	tool_calls	in_tok	cache_read	cache_write	out_tok	verdict	agent_usd	judge_usd
1	C-ghaxi	T1	0	6201	2	1	4	74268	271	247	PASS	0.0184156	0.0190228
1	C-gh	T1	0	5160	2	1	4	60359	8241	242	PASS	0.0488128	0.019088800000000003
1	C-ghci	T1	0	19007	5	4	10	199147	3267	1392	PASS	0.0682164	0.0216248
1	C-ghaxi	T2	0	5931	2	1	4	63508	11144	210	PASS	0.0593856	0.0184268
1	C-gh	T2	0	7326	3	2	6	94897	8421	395	PASS	0.0580064	0.0191078
1	C-ghci	T2	0	8125	2	1	4	65171	13358	491	PASS	0.0727952	0.0192868
1	C-ghaxi	T4	0	11106	3	2	6	100948	23983	500	PASS	0.1211336	0.021238800000000002
1	C-gh	T4	0	18787	6	5	12	243842	25566	1149	PASS	0.16392240000000002	0.0225928
1	C-ghci	T4	0	27414	6	5	12	239452	21619	1934	PASS	0.1551014	0.0239818
1	C-ghaxi	T5	0	12461	5	4	10	177898	12409	696	PASS	0.09219559999999999	0.0198958
1	C-gh	T5	0	5099	2	1	4	60369	8187	223	PASS	0.0484148	0.0194328
1	C-ghci	T5	0	6751	2	1	4	65154	13222	443	PASS	0.0717368	0.0200128
1	C-ghaxi	T6	0	7230	2	1	4	63486	11672	443	PASS	0.0638232	0.020818800000000002
1	C-gh	T6	0	6289	2	1	4	60352	8540	450	PASS	0.052083399999999995	0.0207508
1	C-ghci	T6	0	20791	5	4	10	188220	15919	1735	PASS	0.12006	0.023619800000000003
2	C-ghaxi	T1	0	5939	2	1	4	74268	351	284	PASS	0.0191056	0.0391082
2	C-gh	T1	0	5003	2	1	4	60359	8261	241	PASS	0.04891279999999999	0.019504200000000003
2	C-ghci	T1	0	15259	2	1	4	65144	14020	1247	PASS	0.0829658	0.0202892
2	C-ghaxi	T2	0	5445	2	1	4	63508	11116	182	PASS	0.0589936	0.0189522
2	C-gh	T2	0	7134	3	2	6	94880	8384	350	PASS	0.057429999999999995	0.019715200000000002
2	C-ghci	T2	0	20636	5	4	10	189666	16691	1826	PASS	0.1243582	0.0225862
2	C-ghaxi	T4	0	17084	3	2	6	101469	24540	1119	PASS	0.1296558	0.022070199999999998
2	C-gh	T4	0	21605	5	4	10	175208	14990	1310	PASS	0.10948259999999999	0.0233352
2	C-ghci	T4	0	19888	5	4	10	216830	30471	1464	PASS	0.18128100000000003	0.0236852
2	C-ghaxi	T5	0	9136	3	2	6	101323	11745	468	PASS	0.07193659999999999	0.0200582
2	C-gh	T5	0	4952	2	1	4	60369	8206	220	PASS	0.0484858	0.0197352
2	C-ghci	T5	0	12151	3	2	6	105724	14743	931	PASS	0.0908188	0.0208692
2	C-ghaxi	T6	0	7278	2	1	4	63486	11676	446	PASS	0.0638692	0.0212702
2	C-gh	T6	0	6663	2	1	4	60352	8497	475	PASS	0.052166399999999995	0.021410199999999997
2	C-ghci	T6	0	15524	4	3	8	146565	15305	1291	PASS	0.10480900000000001	0.0229522
3	C-ghaxi	T1	0	6209	2	1	4	63481	11057	272	PASS	0.059652199999999996	0.0196542
3	C-ghci	T1	0	13709	3	2	6	104732	14074	736	PASS	0.0859684	0.0205322
3	C-gh	T1	0	5331	2	1	4	60359	8257	239	PASS	0.0488468	0.019503200000000002
3	C-ghaxi	T2	0	6446	2	1	4	63508	11205	233	PASS	0.059859600000000006	0.0190742
3	C-ghci	T2	0	12948	3	3	6	105148	14093	968	PASS	0.08846960000000001	0.020763200000000002
3	C-gh	T2	0	7448	3	2	6	94905	8439	410	PASS	0.058225	0.019664200000000003
3	C-ghaxi	T4	0	36647	4	7	8	158296	28978	3038	PASS	0.1779672	0.025512200000000002
3	C-ghci	T4	0	27579	7	6	14	301494	28129	1780	PASS	0.19203879999999998	0.0244792
3	C-gh	T4	0	17605	5	4	10	168880	12584	1050	PASS	0.09600800000000001	0.0234222
3	C-ghaxi	T5	0	12031	4	3	8	139362	13726	643	PASS	0.08922240000000001	0.020544200000000002
