tier	rep	cond	task	target	exit	wall_ms	api_calls	tool_calls	in_tok	cache_read	cache_write	out_tok	call_assert	verdict	agent_usd	judge_usd
1	1	C-ghaxi	T7	2	0	81453	23	22	46	1007695	18636	6102	PASS	PASS	0.337195	0.0275822
1	1	C-gh	T7	1	0	7469	3	2	6	103813	1956	430	PASS	PASS	0.034361600000000006	0.021741200000000002
1	1	C-ghci	T7	0	0	13025	4	3	8	149516	5506	1007	PASS	PASS	0.0634962	0.023352199999999997
1	1	C-ghaxi	T8	2	0	36439	11	10	22	428791	5026	2534	PASS	FAIL	0.13124620000000004	0.0229962
1	1	C-gh	T8	1	0	4546	2	1	4	68138	497	235	PASS	PASS	0.019416600000000003	0.020104200000000003
1	1	C-ghci	T8	0	0	25117	7	6	14	262805	4093	2055	FAIL	PASS	0.090955	0.0245142
1	1	C-ghaxi	T9	7	0	57082	16	15	32	642055	8201	4354	PASS	PASS	0.204819	0.0245422
1	1	C-gh	T9	6	0	7896	3	2	6	104569	2696	549	PASS	PASS	0.0386298	0.0207572
1	1	C-ghci	T9	5	0	11172	4	3	8	148999	5046	864	PASS	PASS	0.060046800000000004	0.0219232
1	2	C-ghaxi	T7	5	0	44205	17	16	34	681992	20741	3032	PASS	PASS	0.24975039999999998	0.0253472
1	2	C-gh	T7	4	0	7670	3	2	6	95754	9276	451	PASS	PASS	0.0622848	0.021730199999999998
1	2	C-ghci	T7	3	0	14122	4	3	8	139772	15185	1147	PASS	PASS	0.1016764	0.024625200000000003
1	2	C-ghaxi	T8	5	0	29016	10	9	20	372597	14440	1931	PASS	PASS	0.1516294	0.0261652
1	2	C-gh	T8	4	0	4818	2	1	4	60416	8247	265	PASS	PASS	0.04918220000000001	0.0201362
1	2	C-ghci	T8	3	0	12309	4	3	8	136768	12008	906	PASS	PASS	0.0859106	0.0229962
1	2	C-ghaxi	T9	10	0	124367	27	26	54	1311375	38046	8918	PASS	PASS	0.503747	0.026926200000000004
1	2	C-gh	T9	9	0	8141	3	2	6	96430	9962	582	PASS	PASS	0.066367	0.0207812
1	2	C-ghci	T9	8	0	11757	4	3	8	139434	14559	838	PASS	PASS	0.09592780000000002	0.021902200000000004
1	3	C-ghaxi	T7	8	0	86353	18	17	36	740074	26635	6786	PASS	PASS	0.3224868000000001	0.026137200000000003
1	3	C-ghci	T7	6	0	16911	5	4	10	176937	15314	1144	PASS	PASS	0.1095724	0.023288200000000002
1	3	C-gh	T7	7	0	7793	3	2	6	96070	9793	457	PASS	PASS	0.064426	0.021726199999999998
1	3	C-ghaxi	T8	8	0	38362	13	12	26	494662	15444	2752	PASS	FAIL	0.1882804	0.023445200000000003
1	3	C-ghci	T8	6	0	12884	4	3	8	135775	11249	1163	PASS	PASS	0.085251	0.022093199999999997
1	3	C-gh	T8	7	0	4929	2	1	4	60416	8233	262	PASS	PASS	0.0490912	0.0201772
1	3	C-ghaxi	T9	13	0	77339	19	18	38	791499	26484	6088	PASS	PASS	0.3251918000000001	0.0250702
1	3	C-ghci	T9	11	0	16357	6	5	12	213925	15074	1216	PASS	PASS	0.116699	0.0221272
1	3	C-gh	T9	12	0	8227	3	2	6	96896	10429	582	PASS	PASS	0.0683282	0.020713199999999998
1	4	C-gh	T7	10	0	9201	3	2	6	95625	9396	658	PASS	PASS	0.064798	0.0218692
1	4	C-ghaxi	T7	11	0	39517	13	12	26	507132	20564	2961	PASS	PASS	0.21334440000000005	0.0223432
1	4	C-ghci	T7	9	0	13758	4	3	8	139870	15168	1012	PASS	PASS	0.100287	0.0249242
1	4	C-gh	T8	10	0	4933	2	1	4	60416	8248	265	PASS	PASS	0.0491762	0.020165199999999998
1	4	C-ghaxi	T8	11	0	7375	3	2	6	100834	11428	472	PASS	FAIL	0.0706108	0.0257812
1	4	C-ghci	T8	9	0	9456	3	2	6	98941	10943	777	PASS	PASS	0.0727862	0.0216232
1	4	C-gh	T9	0	0	7778	3	2	6	96582	10102	562	PASS	PASS	0.0667604	0.0207982
1	4	C-ghaxi	T9	1	0	49146	15	14	30	589996	19347	3540	PASS	PASS	0.2308472	0.023068199999999997
1	4	C-ghci	T9	14	0	18085	6	5	12	220561	16057	1357	PASS	PASS	0.1233422	0.0232602
1	5	C-ghci	T7	12	0	19067	5	4	10	179199	16437	1399	PASS	PASS	0.11704780000000001	0.0238842
1	5	C-ghaxi	T7	14	0	95301	22	21	44	923345	26150	6663	PASS	PASS	0.3559870000000001	0.0262802
1	5	C-gh	T7	13	0	8770	3	2	6	95572	9344	567	PASS	PASS	0.0636314	0.0216802
1	5	C-ghci	T8	12	0	8686	3	2	6	98883	10761	669	PASS	PASS	0.0709766	0.0216142
1	5	C-ghaxi	T8	14	0	8351	3	2	6	100834	11431	509	PASS	FAIL	0.0709928	0.021003200000000003
1	5	C-gh	T8	13	0	5323	2	1	4	60416	8414	291	PASS	PASS	0.05005520000000001	0.0202092
1	5	C-ghci	T9	2	0	12656	4	3	8	139578	14755	1036	PASS	PASS	0.0987206	0.0226042
1	5	C-ghaxi	T9	4	0	44684	13	12	26	506064	18076	3489	PASS	PASS	0.2084588	0.0233042
1	5	C-gh	T9	3	0	9827	3	2	6	96526	10090	643	PASS	PASS	0.0675042	0.020799200000000004
