tier	rep	cond	task	target	exit	wall_ms	api_calls	tool_calls	in_tok	cache_read	cache_write	out_tok	call_assert	verdict	agent_usd	judge_usd
1	1	C-ghaxi	T7	2	0	26484	7	6	14	290896	21255	1358	PASS	PASS	0.1583232	0.0222118
1	2	C-ghaxi	T7	5	0	20648	8	7	16	335580	21029	1463	PASS	PASS	0.16744799999999999	0.0226698
1	3	C-ghaxi	T7	8	0	30055	8	7	16	338422	21555	1444	PASS	PASS	0.1698624	0.022806800000000002
1	4	C-ghaxi	T7	11	0	21486	7	6	14	292985	21358	1405	PASS	PASS	0.159658	0.022556800000000002
1	5	C-ghaxi	T7	14	0	19868	7	6	14	286340	20922	1362	PASS	PASS	0.156159	0.0221568
1	1	C-ghaxi	T8	2	0	24043	7	6	14	288126	7064	1254	PASS	PASS	0.0999562	0.022668800000000003
1	2	C-ghaxi	T8	5	0	11612	5	4	10	191349	17849	682	PASS	PASS	0.1180128	0.0212718
1	3	C-ghaxi	T8	8	0	15380	5	4	10	192246	17266	614	PASS	ERROR	0.11517519999999999	0.0209168
1	4	C-ghaxi	T8	11	0	18424	5	4	10	196409	17728	772	PASS	PASS	0.1194308	0.021108800000000004
1	5	C-ghaxi	T8	14	0	12872	5	4	10	194999	17739	663	PASS	PASS	0.11805779999999999	0.022681800000000002
1	1	C-ghaxi	T9	7	0	22337	5	4	10	199210	20031	1292	PASS	PASS	0.134363	0.0210258
1	2	C-ghaxi	T9	10	0	34394	10	9	20	438543	23611	2512	PASS	PASS	0.20873360000000002	0.0233628
1	3	C-ghaxi	T9	13	0	56174	14	13	28	610318	23016	3877	PASS	PASS	0.25437160000000003	0.0231968
1	4	C-ghaxi	T9	1	0	61298	17	16	34	758573	24068	4291	PASS	PASS	0.2924516000000001	0.0241348
1	5	C-ghaxi	T9	4	0	55335	12	11	24	534401	24459	3097	PASS	PASS	0.23719120000000005	0.0224088
